batch,arm,game,seed,done,step,train_eps,train_clears,norm_entropy,image_loss,periodic_n,periodic_clears,periodic_official,periodic_harness,e100_n,e100_clear_rate,e100_lo,e100_hi,e100_official,e100_official_mean,e100_levels_max
sweep,cold,s5i5,2,True,499989,9785,0,0.9999999444747606,0.18270678466943732,21,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sc25,0,True,497230,698,0,0.9999999403953552,0.4528675772746404,9,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sc25,1,True,499957,701,0,0.9999999403953552,0.43504158298416834,8,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sc25,2,True,499428,707,0,0.9999999403953552,0.41610757009588556,8,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sk48,0,True,496496,502,0,0.9999999406105344,0.15815358996283707,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sk48,1,True,498160,502,0,0.9999999406120994,0.17573768190362238,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sk48,2,True,497424,502,0,0.9999999434520037,0.13879715574857515,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sp80,0,True,499968,16134,0,0.9999999432546186,0.07117823600714057,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sp80,1,True,499968,16134,0,0.9999999403953552,0.08565528734641917,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,sp80,2,True,499968,16134,0,0.9999999403953552,0.06452034907381887,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,su15,0,True,499988,12583,0,0.9999999419817907,0.5125436551670611,12,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,su15,1,True,499953,12590,0,0.9999999425073308,0.49997289865974365,8,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,su15,2,True,499917,12601,0,0.9999999437199171,1.0313146582162713,9,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,tr87,0,True,496496,503,0,0.9999999403953552,3.756880048535905,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,tr87,1,True,496832,503,0,0.999999942627739,6.3785675223847,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,tr87,2,True,496496,503,0,0.9999999408469056,5.113328841599551,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,tu93,0,True,496496,502,0,0.9999999403953552,0.15207716917126057,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,tu93,1,True,496496,502,0,0.9999999403953552,0.13263558042286105,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,tu93,2,True,498512,502,0,0.9999999403953552,0.07719673863866112,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,wa30,0,True,499312,502,0,0.9999999403953552,0.1645355927402323,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,wa30,1,True,497040,502,0,0.9999999403953552,0.16225490761693992,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,wa30,2,True,496496,502,0,0.9999999403953552,0.14973038626645785,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
